year,month,Brand,monthly_sales
2019,Jan,Alfa Romeo,59
2019,Jan,Alpine,3
2019,Jan,Aston Martin,0
2019,Jan,Audi,248
2019,Jan,Bentley,3
2019,Jan,BMW,954
2019,Jan,Citroën,1136
2019,Jan,Cupra,0
2019,Jan,Dacia,395
2019,Jan,DS,35
2019,Jan,Ferrari,2
2019,Jan,Fiat,734
2019,Jan,Ford,668
2019,Jan,Honda,122
2019,Jan,Hyundai,410
2019,Jan,Iveco,0
2019,Jan,Jaguar,192
2019,Jan,Jeep,90
2019,Jan,Kia,554
2019,Jan,Lamborghini,3
2019,Jan,Land Rover,188
2019,Jan,Lexus,44
2019,Jan,Man,0
2019,Jan,Maserati,1
2019,Jan,Mazda,279
2019,Jan,Mercedes-Benz,1324
2019,Jan,MINI,200
2019,Jan,Mitsubishi,144
2019,Jan,Nissan,696
2019,Jan,Opel,1047
2019,Jan,Peugeot,1784
2019,Jan,Porsche,0
2019,Jan,Renault,1330
2019,Jan,Seat,754
2019,Jan,Skoda,89
2019,Jan,Smart,303
2019,Jan,Suzuki,42
2019,Jan,Tesla,15
2019,Jan,Toyota,653
2019,Jan,Volkswagen,747
2019,Jan,Volvo,426
2019,Feb,Alfa Romeo,75
2019,Feb,Alpine,2
2019,Feb,Aston Martin,1
2019,Feb,Audi,224
2019,Feb,Bentley,2
2019,Feb,BMW,1184
2019,Feb,Citroën,1523
2019,Feb,Cupra,0
2019,Feb,Dacia,446
2019,Feb,DS,42
2019,Feb,Ferrari,1
2019,Feb,Fiat,978
2019,Feb,Ford,716
2019,Feb,Honda,167
2019,Feb,Hyundai,480
2019,Feb,Iveco,0
2019,Feb,Jaguar,40
2019,Feb,Jeep,151
2019,Feb,Kia,504
2019,Feb,Lamborghini,0
2019,Feb,Land Rover,34
2019,Feb,Lexus,27
2019,Feb,Man,1
2019,Feb,Maserati,2
2019,Feb,Mazda,174
2019,Feb,Mercedes-Benz,1414
2019,Feb,MINI,275
2019,Feb,Mitsubishi,235
2019,Feb,Nissan,786
2019,Feb,Opel,1163
2019,Feb,Peugeot,2345
2019,Feb,Porsche,17
2019,Feb,Renault,2512
2019,Feb,Seat,869
2019,Feb,Skoda,161
2019,Feb,Smart,316
2019,Feb,Suzuki,42
2019,Feb,Tesla,109
2019,Feb,Toyota,622
2019,Feb,Volkswagen,789
2019,Feb,Volvo,432
2019,Mar,Alfa Romeo,103
2019,Mar,Alpine,4
2019,Mar,Aston Martin,3
2019,Mar,Audi,325
2019,Mar,Bentley,2
2019,Mar,BMW,1358
2019,Mar,Citroën,1486
2019,Mar,Cupra,0
2019,Mar,Dacia,676
2019,Mar,DS,51
2019,Mar,Ferrari,2
2019,Mar,Fiat,1986
2019,Mar,Ford,1265
2019,Mar,Honda,158
2019,Mar,Hyundai,614
2019,Mar,Iveco,20
2019,Mar,Jaguar,63
2019,Mar,Jeep,127
2019,Mar,Kia,560
2019,Mar,Lamborghini,1
2019,Mar,Land Rover,33
2019,Mar,Lexus,86
2019,Mar,Man,2
2019,Mar,Maserati,1
2019,Mar,Mazda,288
2019,Mar,Mercedes-Benz,1588
2019,Mar,MINI,215
2019,Mar,Mitsubishi,551
2019,Mar,Nissan,1103
2019,Mar,Opel,1578
2019,Mar,Peugeot,2494
2019,Mar,Porsche,60
2019,Mar,Renault,3959
2019,Mar,Seat,875
2019,Mar,Skoda,154
2019,Mar,Smart,328
2019,Mar,Suzuki,40
2019,Mar,Tesla,355
2019,Mar,Toyota,916
2019,Mar,Volkswagen,923
2019,Mar,Volvo,547
2019,Apr,Alfa Romeo,24
2019,Apr,Alpine,3
2019,Apr,Aston Martin,0
