University_name,UK_rank,Region,State,Gender,Gender_count,Category,Value,Student_enrollment,students_percent,State_percent
Newcastle University,20,North East England,England,Female,52,Local,17979,24630,73,0.23
Newcastle University,20,North East England,England,Male,48,International,6651,24630,27,0.23
Durham University,23,North East England,England,Female,54,Local,11839,17724,66.8,0.23
Durham University,23,North East England,England,Male,46,International,5885,17724,33.2,0.23
Northumbria University,51,North East England,England,Female,55,Local,17330,21529,80.5,0.23
Northumbria University,51,North East England,England,Male,45,International,4199,21529,19.5,0.23
Edge Hill University,82,North East England,England,Female,69,Local,10481,11151,94,0.23
Edge Hill University,82,North East England,England,Male,31,International,670,11151,6,0.23
Teesside University,95,North East England,England,Female,57,Local,10824,12780,84.7,0.23
Teesside University,95,North East England,England,Male,43,International,1956,12780,15.3,0.23
University of Sunderland,125,North East England,England,Female,59,Local,7123,10810,65.9,0.23
University of Sunderland,125,North East England,England,Male,41,International,3687,10810,34.1,0.23
