University_name,UK_rank,Region,State,Gender,Gender_count,Category,Value,Student_enrollment,students_percent,State_percent,,,
University of Oxford,1,South East England,England,Female,47,Local,12084,20835,58.0,0.3,,,80
University of Oxford,1,South East England,England,Male,53,International,8751,20835,42.0,0.3,,,
University of Cambridge,2,East of England,England,Female,47,Local,12005,19681,61.0,0.3,,,
University of Cambridge,2,East of England,England,Male,53,International,7676,19681,39.0,0.3,,,
Imperial College London,3,London,England,Female,40,Local,7263,17717,41.0,0.44,,,
Imperial College London,3,London,England,Male,60,International,10454,17717,59.0,0.44,,,
University College London,4,London,England,Female,58,Local,15376,35760,43.0,0.44,,,
University College London,4,London,England,Male,42,International,20384,35760,57.0,0.44,,,
London School of Economics and Political Science,5,London,England,Female,53,Local,3055,10911,28.0,0.44,,,
London School of Economics and Political Science,5,London,England,Male,47,International,7856,10911,72.0,0.44,,,
University of Edinburgh,6,Scotland,Scotland,Female,61,Local,17713,31631,56.0,0.33,,,
University of Edinburgh,6,Scotland,Scotland,Male,39,International,13918,31631,44.0,0.33,,,
King's College London,7,London,England,Female,62,Local,14406,28248,51.0,0.44,,,
King's College London,7,London,England,Male,38,International,13842,28248,49.0,0.44,,,
University of Manchester,8,North West England,England,Female,54,Local,20829,36543,57.0,0.26,,,
University of Manchester,8,North West England,England,Male,46,International,15714,36543,43.0,0.26,,,
University of Warwick,9,West Midlands,England,Female,50,Local,12946,22713,57.0,0.27,,,
University of Warwick,9,West Midlands,England,Male,50,International,9767,22713,43.0,0.27,,,
University of Glasgow,10,Scotland,Scotland,Female,59,Local,16575,27625,60.0,0.33,,,
University of Glasgow,10,Scotland,Scotland,Male,41,International,11050,27625,40.0,0.33,,,
University of Bristol,11,South West England,England,Female,56,Local,20517,24110,85.1,0.19,,,
University of Bristol,11,South West England,England,Male,44,International,3593,24110,14.9,0.19,,,
University of Birmingham,12,West Midlands,England,Female,58,Local,27380,31364,87.3,0.27,,,
University of Birmingham,12,West Midlands,England,Male,42,International,3984,31364,12.7,0.27,,,
University of Sheffield,13,Yorkshire and the Humber,England,Female,52,Local,21401,27263,78.5,0.21,,,
University of Sheffield,13,Yorkshire and the Humber,England,Male,48,International,5862,27263,21.5,0.21,,,
Queen Mary University of London,14,London,England,Female,55,Local,15321,19976,76.7,0.44,,,
Queen Mary University of London,14,London,England,Male,45,International,4655,19976,23.3,0.44,,,
Lancaster University,15,North West England,England,Female,51,Local,9511,13510,70.4,0.26,,,
Lancaster University,15,North West England,England,Male,49,International,3999,13510,29.6,0.26,,,
University of Southampton,16,South East England,England,Female,53,Local,13961,21815,64.0,0.3,,,
University of Southampton,16,South East England,England,Male,47,International,7854,21815,36.0,0.3,,,
University of Leeds,17,Yorkshire and the Humber,England,Female,61,Local,22656,33318,68.0,0.21,,,
University of Leeds,17,Yorkshire and the Humber,England,Male,39,International,10662,33318,32.0,0.21,,,
University of Nottingham,18,East Midlands,England,Female,54,Local,21952,31360,70.0,0.27,,,
University of Nottingham,18,East Midlands,England,Male,46,International,9408,31360,30.0,0.27,,,
University of Exeter,19,South West England,England,Female,54,Local,17919,22740,78.8,0.19,,,
University of Exeter,19,South West England,England,Male,46,International,4821,22740,21.2,0.19,,,
Newcastle University,20,North East England,England,Female,52,Local,17979,24630,73.0,0.23,,,
Newcastle University,20,North East England,England,Male,48,International,6651,24630,27.0,0.23,,,
University of Sussex,21,South East England,England,Female,55,Local,10931,17407,62.8,0.3,,,
University of Sussex,21,South East England,England,Male,45,International,6476,17407,37.2,0.3,,,
University of Aberdeen,22,Scotland,Scotland,Female,58,Local,9594,13107,73.2,0.33,,,
University of Aberdeen,22,Scotland,Scotland,Male,42,International,3513,13107,26.8,0.33,,,
Durham University,23,North East England,England,Female,54,Local,11839,17724,66.8,0.23,,,
Durham University,23,North East England,England,Male,46,International,5885,17724,33.2,0.23,,,
University of York,24,Yorkshire and the Humber,England,Female,57,Local,13322,17302,77.0,0.21,,,
University of York,24,Yorkshire and the Humber,England,Male,43,International,3980,17302,23.0,0.21,,,
University of Liverpool,25,North West England,England,Female,55,Local,16841,25910,65.0,0.26,,,
University of Liverpool,25,North West England,England,Male,45,International,9069,25910,35.0,0.26,,,
University of East Anglia UEA,26,East of England,England,Female,59,Local,12576,15760,79.8,0.3,,,
University of East Anglia UEA,26,East of England,England,Male,41,International,3184,15760,20.2,0.3,,,
University of Leicester,27,East Midlands,England,Female,54,Local,10339,15029,68.8,0.27,,,
University of Leicester,27,East Midlands,England,Male,46,International,4690,15029,31.2,0.27,,,
Cardiff University,28,Wales,Wales,Female,59,Local,19087,26622,71.7,0.22,,,
Cardiff University,28,Wales,Wales,Male,41,International,7535,26622,28.3,0.22,,,
University of Bath,29,South West England,England,Female,46,Local,9569,14655,65.3,0.19,,,
University of Bath,29,South West England,England,Male,54,International,5086,14655,34.7,0.19,,,
University of Dundee,30,Scotland,Scotland,Female,63,Local,9775,13016,75.1,0.33,,,
University of Dundee,30,Scotland,Scotland,Male,37,International,3241,13016,24.9,0.33,,,
Queen's University Belfast,31,Northern Ireland,Northern Ireland,Female,57,Local,11517,18487,62.3,0.23,,,
Queen's University Belfast,31,Northern Ireland,Northern Ireland,Male,43,International,6970,18487,37.7,0.23,,,
University of Reading,32,South East England,England,Female,57,Local,10509,15433,68.1,0.3,,,
University of Reading,32,South East England,England,Male,43,International,4924,15433,31.9,0.3,,,
St George's University of London,33,London,England,Female,62,Local,2754,3487,79.0,0.44,,,
St George's University of London,33,London,England,Male,38,International,733,3487,21.0,0.44,,,
University of St Andrews,34,Scotland,Scotland,Female,58,Local,5662,9500,59.6,0.33,,,
University of St Andrews,34,Scotland,Scotland,Male,42,International,3838,9500,40.4,0.33,,,
University of Surrey,35,South East England,England,Female,54,Local,9193,14455,63.6,0.3,,,
University of Surrey,35,South East England,England,Male,46,International,5262,14455,36.4,0.3,,,
Swansea University,36,Wales,Wales,Female,46,Local,13649,17589,77.6,0.22,,,
Swansea University,36,Wales,Wales,Male,54,International,3940,17589,22.4,0.22,,,
Anglia Ruskin University,37,East of England,England,Female,64,Local,11502,18887,60.9,0.3,,,
Anglia Ruskin University,37,East of England,England,Male,36,International,7385,18887,39.1,0.3,,,
University of Essex,38,East of England,England,Female,53,Local,9417,13492,69.8,0.3,,,
University of Essex,38,East of England,England,Male,47,International,4075,13492,30.2,0.3,,,
University of Stirling,39,Scotland,Scotland,Female,64,Local,5771,9749,59.2,0.33,,,
University of Stirling,39,Scotland,Scotland,Male,36,International,3978,9749,40.8,0.33,,,
Bournemouth University,40,South West England,England,Female,54,Local,11168,13788,81.0,0.19,,,
Bournemouth University,40,South West England,England,Male,46,International,2620,13788,19.0,0.19,,,
Brunel University London,41,London,England,Female,47,Local,7685,12517,61.4,0.44,,,
Brunel University London,41,London,England,Male,53,International,4832,12517,38.6,0.44,,,
"City, University of London",42,London,England,Female,57,Local,7494,14989,50.0,0.44,,,
"City, University of London",42,London,England,Male,43,International,7495,14989,50.0,0.44,,,
University of Kent,43,South East England,England,Female,53,Local,12028,17282,69.6,0.3,,,
University of Kent,43,South East England,England,Male,47,International,5254,17282,30.4,0.3,,,
Loughborough University,44,East Midlands,England,Female,42,Local,11355,15556,73.0,0.27,,,
Loughborough University,44,East Midlands,England,Male,58,International,4201,15556,27.0,0.27,,,
"Royal Holloway, University of London",45,South East England,England,Female,57,Local,6513,10177,64.0,0.3,,,
"Royal Holloway, University of London",45,South East England,England,Male,43,International,3664,10177,36.0,0.3,,,
Aston University,46,West Midlands,England,Female,48,Local,8695,11517,75.5,0.27,,,
Aston University,46,West Midlands,England,Male,52,International,2822,11517,24.5,0.27,,,
Bangor University,47,Wales,Wales,Female,60,Local,6715,8802,76.3,0.22,,,
Bangor University,47,Wales,Wales,Male,40,International,2087,8802,23.7,0.22,,,
"Goldsmiths, University of London",48,London,England,Female,66,Local,5800,9325,62.2,0.44,,,
"Goldsmiths, University of London",48,London,England,Male,34,International,3525,9325,37.8,0.44,,,
Liverpool John Moores University,49,North West England,England,Female,53,Local,17211,20662,83.3,0.26,,,
Liverpool John Moores University,49,North West England,England,Male,47,International,3451,20662,16.7,0.26,,,
Middlesex University,50,London,England,Female,60,Local,8338,15645,53.3,0.44,,,
Middlesex University,50,London,England,Male,40,International,7307,15645,46.7,0.44,,,
Northumbria University,51,North East England,England,Female,55,Local,17330,21529,80.5,0.23,,,
Northumbria University,51,North East England,England,Male,45,International,4199,21529,19.5,0.23,,,
Plymouth University,52,South West England,England,Female,57,Local,13880,16505,84.1,0.19,,,
Plymouth University,52,South West England,England,Male,43,International,2625,16505,15.9,0.19,,,
"SOAS, University of London",53,London,England,Female,68,Local,2103,4633,45.4,0.44,,,
"SOAS, University of London",53,London,England,Male,32,International,2530,4633,54.6,0.44,,,
University of Strathclyde,54,Scotland,Scotland,Female,51,Local,14116,19337,73.0,0.33,,,
University of Strathclyde,54,Scotland,Scotland,Male,49,International,5221,19337,27.0,0.33,,,
University of the Arts London,55,London,England,Female,76,Local,10637,18564,57.3,0.44,,,
University of the Arts London,55,London,England,Male,24,International,7927,18564,42.7,0.44,,,
University of the West of England,56,South West England,England,Female,54,Local,18424,23322,79.0,0.19,,,
University of the West of England,56,South West England,England,Male,46,International,4898,23322,21.0,0.19,,,
Aberystwyth University,57,Wales,Wales,Female,52,Local,4956,6446,76.9,0.22,,,
Aberystwyth University,57,Wales,Wales,Male,48,International,1490,6446,23.1,0.22,,,
