University_name,Region,State,Education_level,Average_fees,Academic_Calender,Website
University of Oxford,South East England,England,1,21770,Trimesters,www.ox.ac.uk
University of Cambridge,East of England,England,1,21750,Trimesters,www.cam.ac.uk
Imperial College London,London,England,1,23500,Continuous,www.ic.ac.uk
University College London,London,England,1,15660,Other,www.ucl.ac.uk
London School of Economics and Political Science,London,England,1,17040,Semesters,www.lse.ac.uk
University of Edinburgh,Scotland,Scotland,1,15850,Semesters,www.ed.ac.uk
King's College London,London,England,1,15600,Semesters,kcl.ac.uk
University of Manchester,North West England,England,1,14500,Semesters,www.manchester.ac.uk
University of Warwick,West Midlands,England,1,15820,Trimesters,www.warwick.ac.uk
University of Glasgow,Scotland,Scotland,1,14500,Semesters,www.gla.ac.uk
University of Bristol,South West England,England,1,15200,Semesters,www.bris.ac.uk
University of Birmingham,West Midlands,England,1,13860,Continuous,www.bham.ac.uk
University of Sheffield,Yorkshire and the Humber,England,1,14500,NA,www.sheffield.ac.uk
Queen Mary University of London,London,England,1,13650,Semesters,www.qmw.ac.uk
Lancaster University,North West England,England,1,14940,Trimesters,www.lancs.ac.uk
University of Southampton,South East England,England,1,14660,Semesters,www.soton.ac.uk
University of Leeds,Yorkshire and the Humber,England,1,13500,Semesters,www.leeds.ac.uk
University of Nottingham,East Midlands,England,1,14140,Semesters,www.nottingham.ac.uk
University of Exeter,South West England,England,1,15500,Semesters,www.exeter.ac.uk
Newcastle University,North East England,England,1,12680,Semesters,www.newcastle.ac.uk
University of Sussex,South East England,England,1,14450,NA,www.sussex.ac.uk
University of Aberdeen,Scotland,Scotland,1,13000,Semesters,www.abdn.ac.uk
Durham University,North East England,England,1,14900,Trimesters,www.dur.ac.uk
University of York,Yorkshire and the Humber,England,1,17890,Trimesters,www.york.ac.uk
University of Liverpool,North West England,England,1,13850,Semesters,www.liverpool.ac.uk/study/international/
University of East Anglia UEA,East of England,England,1,14200,Semesters,www.uea.ac.uk
University of Leicester,East Midlands,England,1,14000,Semesters,www2.le.ac.uk
Cardiff University,Wales,Wales,1,14000,Semesters,www.cf.ac.uk
University of Bath,South West England,England,1,14300,Semesters,www.bath.ac.uk
University of Dundee,Scotland,Scotland,1,12950,Semesters,www.dundee.ac.uk
Queen's University Belfast,Northern Ireland,Northern Ireland,1,13280,Semesters,www.qub.ac.uk
University of Reading,South East England,England,1,14350,Other,www.reading.ac.uk
St George's University of London,London,England,1,18630,Semesters,www.sgul.ac.uk
University of St Andrews,Scotland,Scotland,1,17040,Semesters,www.st-andrews.ac.uk
University of Surrey,South East England,England,1,13300,Semesters,www.surrey.ac.uk
Swansea University,Wales,Wales,1,13800,Trimesters,www.swan.ac.uk
Anglia Ruskin University,East of England,England,1,10500,Semesters,www.anglia.ac.uk
University of Essex,East of England,England,1,12500,Semesters,essex.ac.uk
University of Stirling,Scotland,Scotland,1,11275,Semesters,www.stir.ac.uk
Bournemouth University,South West England,England,1,13000,NA,www.bournemouth.ac.uk
Brunel University London,London,England,1,13500,Trimesters,www.brunel.ac.uk
"City, University of London",London,England,1,13000,NA,www.city.ac.uk
University of Kent,South East England,England,1,12890,Semesters,www.kent.ac.uk/
Loughborough University,East Midlands,England,1,16400,Semesters,www.lboro.ac.uk/
"Royal Holloway, University of London",South East England,England,1,13200,Semesters,www.rhul.ac.uk
Aston University,West Midlands,England,1,13500,Trimesters,www.aston.ac.uk
Bangor University,Wales,Wales,1,12500,Semesters,www.bangor.ac.uk
"Goldsmiths, University of London",London,England,1,12710,NA,www.gold.ac.uk
Liverpool John Moores University,North West England,England,1,11000,Semesters,ljmu.ac.uk
Middlesex University,London,England,1,11200,Semesters,www.mdx.ac.uk
Northumbria University,North East England,England,1,11500,Semesters,www.unn.ac.uk
Plymouth University,South West England,England,1,12250,NA,www.plym.ac.uk
"SOAS, University of London",London,England,1,16880,NA,www.soas.ac.uk/
University of Strathclyde,Scotland,Scotland,1,14250,Semesters,www.strath.ac.uk
University of the Arts London,London,England,1,15950,NA,www.arts.ac.uk/
University of the West of England,South West England,England,1,11250,Semesters,www.uwe.ac.uk
Aberystwyth University,Wales,Wales,1,10500,Semesters,www.aber.ac.uk/
Birmingham City University,West Midlands,England,1,13500,Semesters,www.bcu.ac.uk
Edinburgh Napier University,Scotland,Scotland,1,11250,Trimesters,www.napier.ac.uk
Heriot-Watt University,Scotland,Scotland,1,13020,NA,www.hw.ac.uk
Keele University,West Midlands,England,1,12500,Semesters,www.keele.ac.uk
University of Lincoln,East of England,England,1,12800,Semesters,www.lincoln.ac.uk
Nottingham Trent University,East Midlands,England,1,12163,Quarters,www.ntu.ac.uk
University of Portsmouth,South East England,England,1,11500,Semesters,www.port.ac.uk
University of the West of Scotland,Scotland,Scotland,1,11000,Trimesters,www.uws.ac.uk
University of Bradford,Yorkshire and the Humber,England,1,12100,Semesters,www.brad.ac.uk
University of Brighton,South East England,England,1,12660,Continuous,www.brighton.ac.uk
Coventry University,West Midlands,England,1,10766,Other,www.coventry.ac.uk
De Montfort University,East Midlands,England,1,11750,Continuous,www.dmu.ac.uk/home.aspx
University of Derby,East Midlands,England,1,10900,Other,www.derby.ac.uk
Glasgow Caledonian University,Scotland,Scotland,1,10467,Trimesters,www.gcu.ac.uk
University of Greenwich,London,England,1,10850,Semesters,www.gre.ac.uk
University of Hertfordshire,East of England,England,1,11000,Semesters,www.herts.ac.uk
University of Huddersfield,Yorkshire and the Humber,England,1,12000,Continuous,www.hud.ac.uk
University of Hull,Yorkshire and the Humber,England,1,12300,Semesters,www.hull.ac.uk
Manchester Metropolitan University,North West England,England,1,11150,Semesters,www.mmu.ac.uk
Oxford Brookes University,South East England,England,1,12400,Semesters,www.brookes.ac.uk
University of Ulster,Northern Ireland,Northern Ireland,1,12495,Semesters,www.ulst.ac.uk
University of Bedfordshire,East of England,England,1,9750,Semesters,www.beds.ac.uk
University of Central Lancashire,North West England,England,1,11450,Semesters,www.uclan.ac.uk
University of East London,London,England,1,10700,Semesters,www.uel.ac.uk
Edge Hill University,North East England,England,1,11150,Semesters,www.edgehill.ac.uk
Kingston University,London,England,1,11300,Semesters,www.kingston.ac.uk/
Leeds Beckett University,Yorkshire and the Humber,England,1,9500,Semesters,www.lmu.ac.uk
London South Bank University,London,England,1,10500,Semesters,www.sbu.ac.uk
